"county","year","month","All causes (total)","Alzheimer's disease","Malignant neoplasms","Chronic lower respiratory diseases","Diabetes mellitus","Assault (homicide)","Diseases of heart","Essential hypertension and hypertensive renal disease","Accidents (unintentional injuries)","Chronic liver disease and cirrhosis","Nephritis, nephrotic syndrome and nephrosis","Parkinson's disease","Influenza and pneumonia","Cerebrovascular diseases","Intentional self-harm (suicide)"
"Monterey",2014,10,192,0,51,0,0,0,44,0,0,0,0,0,0,11,0
"Napa",2014,10,89,0,27,0,0,0,16,0,0,0,0,0,0,0,0
"Nevada",2014,10,78,0,16,0,0,0,16,0,0,0,0,0,0,0,0
"Orange",2014,10,1564,109,382,52,37,0,382,24,62,30,34,20,26,106,42
"Placer",2014,10,300,14,76,14,0,0,71,0,0,0,0,0,0,0,0
"Plumas",2014,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2014,10,1227,58,331,73,32,11,317,19,67,29,13,11,13,66,24
"Sacramento",2014,10,923,27,229,61,19,0,206,25,42,13,0,0,26,55,16
"San Benito",2014,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2014,10,1084,49,240,70,50,0,254,17,62,18,13,13,16,47,17
"San Diego",2014,10,1709,126,453,75,47,0,382,28,92,21,12,28,12,88,42
"San Francisco",2014,10,445,20,106,15,0,0,90,0,15,0,0,0,0,29,12
"San Joaquin",2014,10,375,26,103,17,12,0,86,0,18,0,0,0,0,16,0
"San Luis Obispo",2014,10,176,0,40,12,0,0,34,0,0,0,0,0,0,12,0
"San Mateo",2014,10,373,17,100,15,0,0,82,0,0,14,0,0,0,26,0
"Santa Barbara",2014,10,223,17,63,0,0,0,53,0,15,0,0,0,0,0,0
"Santa Clara",2014,10,887,0,248,26,35,0,178,26,39,16,0,12,12,49,12
"Santa Cruz",2014,10,110,0,18,0,0,0,20,0,0,0,0,0,0,0,0
"Shasta",2014,10,189,11,36,12,0,0,45,0,12,0,0,0,0,0,0
"Sierra",2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2014,10,48,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Solano",2014,10,216,14,62,11,13,0,33,0,16,0,0,0,0,16,0
"Sonoma",2014,10,329,22,89,0,14,0,63,0,0,0,0,0,0,25,0
"Stanislaus",2014,10,370,15,96,13,0,0,83,0,20,11,0,0,0,34,0
"Sutter",2014,10,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2014,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2014,10,206,0,48,12,0,0,48,0,12,0,0,0,0,0,0
"Tuolumne",2014,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2014,10,434,24,109,16,18,0,85,0,30,14,0,0,0,26,11
"Yolo",2014,10,88,0,26,0,0,0,15,0,0,0,0,0,0,0,0
"Yuba",2014,10,62,0,11,0,0,0,11,0,0,0,0,0,0,0,0
"Alameda",2014,11,773,47,197,29,27,0,140,12,37,17,0,11,15,59,17
"Alpine",2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2014,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2014,11,180,15,36,0,0,0,46,0,0,0,0,0,0,11,0
"Calaveras",2014,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2014,11,615,34,155,40,17,0,108,16,29,11,0,11,0,40,0
"Del Norte",2014,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2014,11,88,0,27,0,0,0,17,0,0,0,0,0,0,0,0
"Fresno",2014,11,591,26,108,27,21,0,136,21,39,14,0,0,15,46,0
"Glenn",2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2014,11,96,0,22,0,0,0,21,0,0,0,0,0,0,0,0
"Imperial",2014,11,76,0,16,0,0,0,13,0,12,0,0,0,0,0,0
"Inyo",2014,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2014,11,412,29,87,28,15,0,83,0,27,0,0,0,0,23,12
"Kings",2014,11,52,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Lake",2014,11,54,0,13,0,0,0,17,0,0,0,0,0,0,0,0
"Lassen",2014,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2014,11,4945,268,1246,211,191,47,1284,109,197,111,86,49,152,262,50
"Madera",2014,11,57,0,13,0,0,0,11,0,0,0,0,0,0,0,0
"Marin",2014,11,150,13,32,0,0,0,31,0,0,0,0,0,0,0,0
"Mariposa",2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2014,11,72,0,19,0,0,0,22,0,0,0,0,0,0,0,0
"Merced",2014,11,98,0,24,0,0,0,26,0,0,0,0,0,0,0,0
"Modoc",2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2014,11,198,13,52,0,0,0,39,0,0,0,0,0,0,0,0
"Napa",2014,11,92,0,28,0,0,0,15,0,0,0,0,0,0,0,0
"Nevada",2014,11,78,0,24,0,0,0,16,0,0,0,0,0,0,0,0
"Orange",2014,11,1608,108,411,72,35,0,382,30,63,37,29,18,48,113,32
"Placer",2014,11,269,21,79,11,0,0,44,0,0,0,0,0,0,15,0
"Plumas",2014,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2014,11,1226,73,283,72,31,0,330,28,92,28,16,16,14,65,19
"Sacramento",2014,11,948,50,209,45,35,0,208,17,60,14,0,0,18,64,17
"San Benito",2014,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2014,11,1103,48,252,54,44,11,253,26,54,32,16,15,13,45,18
"San Diego",2014,11,1752,113,455,82,53,12,368,24,101,33,0,29,18,114,34
"San Francisco",2014,11,464,14,134,0,11,0,104,0,20,0,0,0,0,23,0
"San Joaquin",2014,11,443,38,88,32,16,0,106,0,26,0,0,0,13,24,0
"San Luis Obispo",2014,11,180,16,43,0,0,0,34,0,0,0,0,0,0,19,0
"San Mateo",2014,11,331,22,80,17,0,0,83,0,0,0,0,0,11,18,0
"Santa Barbara",2014,11,249,19,61,0,0,0,57,0,0,0,0,0,0,18,0
"Santa Clara",2014,11,853,0,219,26,30,0,170,26,40,15,0,13,20,46,11
"Santa Cruz",2014,11,148,0,37,0,0,0,31,0,0,0,0,0,0,0,0
"Shasta",2014,11,180,0,45,19,0,0,38,0,0,0,0,0,0,0,0
"Sierra",2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2014,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2014,11,239,11,70,15,0,0,41,0,16,0,0,0,0,0,0
"Sonoma",2014,11,333,21,82,13,11,0,76,0,21,0,0,0,0,12,0
"Stanislaus",2014,11,394,22,85,20,20,0,96,0,25,0,0,0,0,23,0
"Sutter",2014,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tehama",2014,11,45,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2014,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2014,11,223,0,47,0,11,0,53,0,12,0,0,0,12,12,0
"Tuolumne",2014,11,50,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2014,11,435,22,90,26,17,0,112,0,25,0,0,0,0,28,0
"Yolo",2014,11,80,0,21,0,0,0,16,0,0,0,0,0,0,0,0
"Yuba",2014,11,57,0,15,0,0,0,15,0,0,0,0,0,0,0,0
"Alameda",2014,12,837,38,176,35,32,11,187,23,32,15,0,12,26,40,15
"Alpine",2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2014,12,43,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2014,12,197,13,39,19,0,0,56,0,12,0,0,0,0,0,0
"Calaveras",2014,12,28,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Colusa",2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2014,12,635,43,147,38,23,0,138,14,17,0,0,11,0,55,0
"Del Norte",2014,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2014,12,96,0,34,0,0,0,25,0,0,0,0,0,0,0,0
"Fresno",2014,12,586,32,119,24,15,0,132,24,25,14,0,0,15,40,12
"Glenn",2014,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2014,12,98,0,19,0,0,0,14,0,13,0,0,0,0,0,0
"Imperial",2014,12,67,0,15,0,0,0,22,0,0,0,0,0,0,0,0
"Inyo",2014,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2014,12,494,21,102,50,19,0,111,0,43,11,0,0,0,27,12
"Kings",2014,12,69,0,16,0,0,0,16,0,0,0,0,0,0,0,0
"Lake",2014,12,49,0,12,0,0,0,16,0,0,0,0,0,0,0,0
"Lassen",2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2014,12,5515,301,1307,278,225,58,1495,113,201,139,100,57,180,313,72
"Madera",2014,12,69,0,12,0,0,0,18,0,0,0,0,0,0,0,0
"Marin",2014,12,174,19,31,0,0,0,40,0,0,0,0,0,0,0,0
"Mariposa",2014,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2014,12,78,0,18,0,0,0,19,0,0,0,0,0,0,0,0
"Merced",2014,12,110,0,19,0,0,0,31,0,0,0,0,0,0,0,0
"Modoc",2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2014,12,226,0,57,11,0,0,35,0,13,0,0,0,0,0,0
"Napa",2014,12,116,0,36,0,0,0,23,0,0,0,0,0,0,0,0
"Nevada",2014,12,76,0,21,0,0,0,17,0,0,0,0,0,0,0,0
"Orange",2014,12,1756,120,405,90,53,0,468,24,67,24,25,18,38,127,27
"Placer",2014,12,303,30,51,16,0,0,74,0,0,0,0,0,0,18,0
"Plumas",2014,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2014,12,1364,87,332,91,46,0,377,24,59,39,18,12,11,73,22
"Sacramento",2014,12,969,49,221,43,38,0,208,29,49,16,0,0,12,46,22
"San Benito",2014,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2014,12,1193,61,264,66,71,0,281,26,45,26,15,13,22,54,11
"San Diego",2014,12,1763,131,411,66,66,0,405,33,114,29,0,24,22,97,26
"San Francisco",2014,12,527,16,132,13,0,0,114,0,38,13,0,0,0,33,0
"San Joaquin",2014,12,420,31,89,28,0,0,105,0,17,0,0,0,0,26,0
"San Luis Obispo",2014,12,205,0,44,0,0,0,45,0,19,0,0,0,0,0,0
"San Mateo",2014,12,417,37,93,21,14,0,101,0,0,0,0,0,0,25,0
"Santa Barbara",2014,12,261,17,62,0,0,0,67,0,12,0,0,0,0,21,0
"Santa Clara",2014,12,981,0,256,40,46,0,192,29,51,19,0,17,18,54,13
"Santa Cruz",2014,12,159,0,35,11,0,0,35,0,0,0,0,0,0,0,0
"Shasta",2014,12,205,11,37,16,0,0,56,0,0,0,0,0,0,0,0
"Sierra",2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2014,12,50,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2014,12,281,20,64,18,12,0,55,0,15,0,0,0,0,19,0
"Sonoma",2014,12,363,32,94,13,0,0,91,0,13,0,0,0,0,19,0
"Stanislaus",2014,12,419,21,85,23,13,0,113,0,18,11,0,0,13,28,0
"Sutter",2014,12,41,0,15,0,0,0,11,0,0,0,0,0,0,0,0
"Tehama",2014,12,38,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2014,12,217,0,44,12,0,0,68,0,11,0,0,0,0,11,0
"Tuolumne",2014,12,49,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Ventura",2014,12,475,42,114,26,12,0,101,11,16,0,0,11,0,37,0
"Yolo",2014,12,92,0,22,11,0,0,19,0,0,0,0,0,0,0,0
"Yuba",2014,12,65,0,0,0,0,0,24,0,0,0,0,0,0,0,0
"Alameda",2015,1,997,53,207,59,37,11,209,18,50,16,0,0,46,59,0
"Alpine",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2015,1,44,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Butte",2015,1,215,14,26,19,0,0,57,0,14,0,0,0,0,18,0
"Calaveras",2015,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2015,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2015,1,718,42,174,36,17,0,149,13,15,0,0,0,21,71,0
"Del Norte",2015,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2015,1,123,0,27,0,0,0,31,0,0,0,0,0,0,0,0
"Fresno",2015,1,648,31,128,24,22,0,155,19,42,16,0,0,21,38,0
"Glenn",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2015,1,116,0,23,0,0,0,28,0,0,0,0,0,0,0,0
"Imperial",2015,1,96,0,15,0,0,0,29,0,0,0,0,0,0,0,0
"Inyo",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2015,1,520,47,91,41,20,0,139,0,29,0,0,0,11,20,13
"Kings",2015,1,68,0,11,0,0,0,18,0,0,0,0,0,0,0,0
"Lake",2015,1,60,0,15,0,0,0,16,0,0,0,0,0,0,0,0
"Lassen",2015,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2015,1,6310,421,1320,358,241,49,1763,138,198,143,121,65,294,323,69
"Madera",2015,1,57,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Marin",2015,1,195,11,45,12,0,0,42,0,0,0,0,0,0,11,0
"Mariposa",2015,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2015,1,80,0,23,0,0,0,22,0,0,0,0,0,0,0,0
"Merced",2015,1,121,0,25,0,0,0,25,0,0,0,0,0,0,0,0
"Modoc",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2015,1,253,0,49,0,0,0,66,0,13,0,0,0,0,0,0
"Napa",2015,1,127,0,24,0,0,0,45,0,0,0,0,0,0,0,0
"Nevada",2015,1,85,0,25,0,0,0,24,0,0,0,0,0,0,0,0
"Orange",2015,1,1936,135,395,107,73,0,465,28,62,35,39,27,82,139,25
"Placer",2015,1,298,21,57,18,0,0,62,0,13,0,0,0,11,16,0
"Plumas",2015,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2015,1,1498,94,280,122,45,0,422,30,70,29,23,19,45,79,27
"Sacramento",2015,1,1128,51,235,77,37,0,283,23,57,15,0,0,49,67,16
"San Benito",2015,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2015,1,1347,55,266,99,61,0,352,23,57,31,21,15,28,70,16
"San Diego",2015,1,2153,143,475,123,69,0,504,35,98,44,0,31,59,131,39
"San Francisco",2015,1,591,21,129,26,17,0,130,0,31,0,12,0,22,24,13
"San Joaquin",2015,1,549,52,107,37,22,0,121,0,23,13,0,0,22,31,0
"San Luis Obispo",2015,1,224,0,43,12,0,0,54,0,12,0,0,0,0,19,0
"San Mateo",2015,1,502,45,90,24,23,0,112,11,0,0,0,14,26,33,0
"Santa Barbara",2015,1,267,20,48,15,0,0,74,0,11,0,0,0,0,15,0
"Santa Clara",2015,1,1098,0,235,47,47,0,252,59,52,17,0,16,37,46,24
"Santa Cruz",2015,1,183,13,39,11,0,0,36,0,0,0,0,0,0,12,0
"Shasta",2015,1,235,12,47,27,0,0,52,0,0,0,0,0,0,0,0
"Sierra",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2015,1,40,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Solano",2015,1,276,17,61,20,13,0,54,0,0,0,0,0,0,11,0
"Sonoma",2015,1,383,27,92,22,0,0,91,0,23,0,0,0,15,18,0
"Stanislaus",2015,1,440,15,80,32,18,0,123,0,22,0,0,0,15,33,0
"Sutter",2015,1,48,0,13,0,0,0,20,0,0,0,0,0,0,0,0
"Tehama",2015,1,49,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2015,1,279,0,43,12,13,0,88,0,0,0,0,0,17,19,0
"Tuolumne",2015,1,43,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Ventura",2015,1,557,44,124,36,27,0,115,17,19,0,0,0,0,29,11
"Yolo",2015,1,110,11,23,0,0,0,30,0,0,0,0,0,0,0,0
"Yuba",2015,1,79,0,18,0,0,0,21,0,0,0,0,0,0,0,0
"Alameda",2015,2,813,45,162,43,22,0,165,23,28,18,13,0,30,59,0
"Alpine",2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2015,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2015,2,209,16,45,13,0,0,46,0,17,0,0,0,0,0,0
"Calaveras",2015,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2015,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2015,2,727,42,159,50,21,0,145,17,18,16,13,0,23,57,0
"Del Norte",2015,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2015,2,93,0,24,0,0,0,22,0,0,0,0,0,0,0,0
"Fresno",2015,2,589,29,121,30,26,0,113,20,34,16,0,0,19,40,0
"Glenn",2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2015,2,126,0,24,0,0,0,24,0,0,0,0,0,0,17,0
"Imperial",2015,2,64,0,12,0,0,0,15,0,0,0,0,0,0,0,0
"Inyo",2015,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2015,2,434,25,79,28,14,0,98,0,47,11,0,0,0,19,0
"Kings",2015,2,88,0,17,0,0,0,23,0,0,0,0,0,0,0,0
"Lake",2015,2,62,0,13,0,0,0,15,0,0,0,0,0,0,0,0
"Lassen",2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2015,2,5223,302,1161,284,180,31,1355,116,188,131,108,59,226,293,79
"Madera",2015,2,77,0,14,0,0,0,17,0,0,0,0,0,0,0,0
"Marin",2015,2,196,16,45,11,0,0,39,0,0,0,0,0,0,11,0
"Mariposa",2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2015,2,53,0,15,0,0,0,14,0,0,0,0,0,0,0,0
"Merced",2015,2,114,0,19,0,0,0,22,0,0,0,0,0,0,0,0
"Modoc",2015,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2015,2,221,0,53,19,0,0,43,0,0,0,0,0,0,13,0
"Napa",2015,2,111,0,22,0,0,0,36,0,0,0,0,0,0,0,0
"Nevada",2015,2,88,0,0,12,0,0,16,0,0,0,0,0,0,0,0
"Orange",2015,2,1680,144,360,99,33,0,426,26,65,23,22,28,60,99,22
"Placer",2015,2,316,19,66,32,15,0,65,0,11,0,0,0,0,16,0
"Plumas",2015,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2015,2,1255,68,268,101,34,0,349,30,79,28,12,15,32,69,18
"Sacramento",2015,2,996,53,173,61,35,0,250,21,60,14,0,0,24,66,12
"San Benito",2015,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2015,2,1117,56,233,99,43,0,288,14,30,20,19,11,22,45,25
"San Diego",2015,2,1813,130,394,109,62,0,423,29,85,38,11,17,48,80,29
"San Francisco",2015,2,484,31,102,18,0,0,103,0,37,11,0,11,21,21,0
"San Joaquin",2015,2,454,46,89,31,17,0,110,0,0,12,14,0,12,0,0
"San Luis Obispo",2015,2,183,0,41,15,0,0,23,0,0,0,0,0,0,19,0
"San Mateo",2015,2,401,32,80,24,0,0,100,0,0,0,0,0,15,28,0
"Santa Barbara",2015,2,267,21,57,18,0,0,61,0,20,0,0,0,0,0,0
"Santa Clara",2015,2,932,0,212,51,47,0,185,43,40,22,0,14,29,47,0
"Santa Cruz",2015,2,145,0,25,0,0,0,40,0,0,0,0,0,0,0,0
"Shasta",2015,2,194,11,30,20,0,0,48,0,12,0,0,0,0,0,0
"Sierra",2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2015,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solano",2015,2,256,11,55,16,0,0,51,0,0,0,0,0,16,14,0
"Sonoma",2015,2,355,30,90,20,0,0,71,0,23,0,0,0,12,19,0
"Stanislaus",2015,2,382,20,78,31,0,0,112,0,19,0,0,0,19,19,0
"Sutter",2015,2,44,0,11,0,0,0,13,0,0,0,0,0,0,0,0
"Tehama",2015,2,58,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"Trinity",2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2015,2,232,0,41,16,0,0,67,14,0,0,0,0,0,15,0
"Tuolumne",2015,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ventura",2015,2,445,38,90,20,13,0,105,15,19,0,0,0,0,27,0
"Yolo",2015,2,84,0,17,0,0,0,21,0,0,0,0,0,0,0,0
"Yuba",2015,2,65,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"Alameda",2015,3,847,42,184,40,18,0,179,24,40,14,14,0,20,55,14
"Alpine",2015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2015,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2015,3,242,16,32,16,0,0,62,0,25,0,0,0,0,0,0
"Calaveras",2015,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2015,3,679,47,144,31,24,0,150,0,21,0,0,13,11,63,0
"Del Norte",2015,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2015,3,102,0,22,0,0,0,28,0,0,0,0,0,0,0,0
"Fresno",2015,3,571,40,104,32,21,0,116,19,48,15,0,0,18,38,0
"Glenn",2015,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humboldt",2015,3,102,0,21,0,0,0,24,0,11,0,0,0,0,0,0
"Imperial",2015,3,59,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Inyo",2015,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kern",2015,3,475,38,91,42,12,0,113,0,28,0,0,0,0,28,0
"Kings",2015,3,70,0,16,0,0,0,12,0,0,0,0,0,0,0,0
"Lake",2015,3,55,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"Lassen",2015,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles",2015,3,5432,312,1261,297,212,44,1427,109,203,139,124,51,197,333,47
"Madera",2015,3,88,0,21,0,0,0,24,0,0,0,0,0,0,0,0
"Marin",2015,3,177,23,41,0,0,0,38,0,0,0,0,0,0,11,0
"Mariposa",2015,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mendocino",2015,3,52,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Merced",2015,3,111,0,17,0,0,0,24,0,0,0,0,0,0,0,0
"Modoc",2015,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mono",2015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monterey",2015,3,227,13,42,12,0,0,47,0,14,0,0,0,0,0,0
"Napa",2015,3,132,0,27,14,0,0,30,0,0,0,0,0,0,0,0
"Nevada",2015,3,93,11,0,12,0,0,18,0,0,0,0,0,0,0,0
"Orange",2015,3,1749,134,440,84,40,0,416,21,64,40,33,23,54,113,26
"Placer",2015,3,338,21,74,33,0,0,66,0,19,0,0,0,0,22,0
"Plumas",2015,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside",2015,3,1386,86,334,98,38,0,377,23,73,25,18,15,15,88,26
"Sacramento",2015,3,1085,58,216,69,34,0,269,30,50,18,0,11,18,70,18
"San Benito",2015,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Bernardino",2015,3,1230,63,246,105,66,0,303,17,53,25,27,0,20,59,18
"San Diego",2015,3,1895,120,462,96,65,0,468,32,85,31,12,23,39,105,39
"San Francisco",2015,3,564,26,142,13,15,0,115,0,45,13,0,0,19,47,0
"San Joaquin",2015,3,429,33,103,34,0,0,99,0,22,0,0,0,12,0,0
"San Luis Obispo",2015,3,206,16,52,11,0,0,46,0,12,0,0,0,0,0,0
"San Mateo",2015,3,431,31,87,15,0,0,90,0,16,0,0,0,23,42,0
"Santa Barbara",2015,3,262,17,53,17,0,0,62,0,14,0,0,0,0,13,12
"Santa Clara",2015,3,962,13,229,44,46,0,193,47,41,13,0,0,15,49,17
"Santa Cruz",2015,3,150,0,36,0,0,0,31,0,16,0,0,0,0,0,0
"Shasta",2015,3,239,16,44,34,0,0,47,0,0,0,0,0,0,16,0
"Sierra",2015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siskiyou",2015,3,54,0,11,0,0,0,13,0,0,0,0,0,0,0,0
"Solano",2015,3,255,21,66,24,0,0,39,0,12,0,0,0,0,17,0
"Sonoma",2015,3,358,27,65,29,0,0,83,0,18,0,0,0,0,17,0
"Stanislaus",2015,3,461,24,94,35,18,0,93,0,25,0,0,0,0,23,0
"Sutter",2015,3,51,0,14,0,0,0,14,0,0,0,0,0,0,0,0
"Tehama",2015,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity",2015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulare",2015,3,261,0,45,13,17,0,69,0,0,0,0,0,0,12,0
"Tuolumne",2015,3,47,0,13,0,0,0,13,0,0,0,0,0,0,0,0
"Ventura",2015,3,455,35,112,16,11,0,104,11,31,12,0,0,0,32,0
"Yolo",2015,3,99,11,21,0,0,0,18,0,0,0,0,0,0,0,0
"Yuba",2015,3,71,0,14,0,0,0,23,0,0,0,0,0,0,0,0
"Alameda",2015,4,823,43,185,46,30,0,167,19,28,12,0,13,18,59,15
"Alpine",2015,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amador",2015,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butte",2015,4,242,17,57,20,0,0,43,0,15,0,0,0,0,13,0
"Calaveras",2015,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colusa",2015,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa",2015,4,642,42,159,35,29,0,137,0,23,0,0,0,11,43,0
"Del Norte",2015,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado",2015,4,113,0,31,0,0,0,22,0,0,0,0,0,0,0,0
"Fresno",2015,4,585,29,98,24,18,0,127,26,36,22,0,0,18,35,0
